pid,uri,title,longitude,latitude,place_types
109266,https://pleiades.stoa.org/places/109266,Quadriburgium,6.1796085000000005,51.77684,fort
109280,https://pleiades.stoa.org/places/109280,Riegel,7.749345,48.151439,fort
109281,https://pleiades.stoa.org/places/109281,Rigomagus,7.226988,50.578849,fort|settlement
109282,https://pleiades.stoa.org/places/109282,Rijsbergen,4.700558,51.515794,temple
109289,https://pleiades.stoa.org/places/109289,Rouvroy-les-Merles,2.3623929500000003,49.651889,sanctuary|temple
109294,https://pleiades.stoa.org/places/109294,Rüsselsheim,8.410847,49.994882,fort
109297,https://pleiades.stoa.org/places/109297,Saalburg Roman Fort,8.566651620566516,50.2715322203374,earthwork|fort|fort-2
109315,https://pleiades.stoa.org/places/109315,Ste-Ruffine,6.096431,49.105038,temple
109324,https://pleiades.stoa.org/places/109324,Sasbach,7.6103252578500005,48.144741183250005,fort
109339,https://pleiades.stoa.org/places/109339,Septeuil,1.680558,48.892577,temple
109340,https://pleiades.stoa.org/places/109340,Sept-Saulx,4.252153,49.14978,mine|production
109374,https://pleiades.stoa.org/places/109374,Thalfang-Bäsch,6.996589,49.754237,temple
109416,https://pleiades.stoa.org/places/109416,Verbinum/Vironum,3.905652,49.831064999999995,temple
109426,https://pleiades.stoa.org/places/109426,Vicus Contiomagus,6.70758045,49.356101100000004,fort|fort-2|settlement
109450,https://pleiades.stoa.org/places/109450,Waghäusel,8.52657595,49.22980325,fort
109458,https://pleiades.stoa.org/places/109458,Wesel-Büderich,6.5820795,51.6347025,fort
109459,https://pleiades.stoa.org/places/109459,Wesseling Roman Fort,6.993614,50.820072,fort|fort-2
109461,https://pleiades.stoa.org/places/109461,Wiesbaden-Biebrich,8.241041,50.044849,fort
109472,https://pleiades.stoa.org/places/109472,Zugmantel,8.202941,50.1913545,fort
109473,https://pleiades.stoa.org/places/109473,Zullestein,8.391102,49.70358,castle|fort
114007,https://pleiades.stoa.org/places/114007,Untitled,6.63855503228,49.8172601883,fort|wall-2
118537,https://pleiades.stoa.org/places/118537,Aalen,10.087310500000001,48.835778000000005,fort
118541,https://pleiades.stoa.org/places/118541,Ad Iuvense?,14.7162245,48.167004,fort|fort-2
118543,https://pleiades.stoa.org/places/118543,Ad Mauros,14.028479,48.312645,fort
118549,https://pleiades.stoa.org/places/118549,Aislingen,10.459194,48.509004,fort
118552,https://pleiades.stoa.org/places/118552,Albing,14.546615,48.225062,fort
118559,https://pleiades.stoa.org/places/118559,Altenstadt,8.941589,50.285208999999995,fort
118571,https://pleiades.stoa.org/places/118571,Ar(e)lape,15.210423500000001,48.212163000000004,fort
118575,https://pleiades.stoa.org/places/118575,Arnsburg,8.784437503705496,50.48771489393273,amphitheatre|fort|fort-2
118577,https://pleiades.stoa.org/places/118577,Asturis?,15.912099999999999,48.343568000000005,fort
118581,https://pleiades.stoa.org/places/118581,Augustiana,15.738096500000001,48.3422145,fort
118588,https://pleiades.stoa.org/places/118588,Bad Nauheim,8.735747,50.360605,fort
118590,https://pleiades.stoa.org/places/118590,Batavi,13.463921,48.573506,fort
118594,https://pleiades.stoa.org/places/118594,Benningen,9.2418383,48.9467938,fort
118600,https://pleiades.stoa.org/places/118600,Biriciana,10.962530145853535,49.03099305561315,fort|fort-2
118601,https://pleiades.stoa.org/places/118601,Böbingen,9.9242565,48.815795,fort
118603,https://pleiades.stoa.org/places/118603,Böhming,11.360448351885374,48.946135831344904,fort|fort-2
118614,https://pleiades.stoa.org/places/118614,Buch,10.1395305,48.9087505,fort
118618,https://pleiades.stoa.org/places/118618,Burladingen,9.115248,48.289167,fort
118619,https://pleiades.stoa.org/places/118619,Burlafingen,10.066276,48.417113,fort
118622,https://pleiades.stoa.org/places/118622,Caelius Mons,10.1271332,48.1201664,fort
118638,https://pleiades.stoa.org/places/118638,Dambach,10.5794457,49.1016524,fort
118640,https://pleiades.stoa.org/places/118640,Deggingen,9.7205575,48.590712999999994,fort
118643,https://pleiades.stoa.org/places/118643,Dettingen,9.45191945,48.601280700000004,fort|tower-defensive
118656,https://pleiades.stoa.org/places/118656,Ebingen,8.981486,48.213528,fort
118657,https://pleiades.stoa.org/places/118657,Echzell,8.8840215,50.391956,fort
118662,https://pleiades.stoa.org/places/118662,Eining,11.773757130396259,48.854695594395444,archaeological-site|fort|fort-2
118663,https://pleiades.stoa.org/places/118663,Eislingen,9.706014,48.69438,fort
118665,https://pleiades.stoa.org/places/118665,Emerkingen,9.65223,48.2152885,fort
118669,https://pleiades.stoa.org/places/118669,Essingen,10.027479,48.808738,fort
118671,https://pleiades.stoa.org/places/118671,Eulbach,9.077017,49.6797875,fort
118673,https://pleiades.stoa.org/places/118673,Faviana,15.57763,48.393748,fort
118681,https://pleiades.stoa.org/places/118681,Friedberg,8.753676,50.336719,fort
118684,https://pleiades.stoa.org/places/118684,Frittlingen,8.709882,48.127427,fort
118697,https://pleiades.stoa.org/places/118697,Germanicum,11.499781,48.810891,fort|fort-2
118705,https://pleiades.stoa.org/places/118705,Gomadingen,9.390308000000001,48.4020185,fort
118706,https://pleiades.stoa.org/places/118706,*Grinario,9.360161772911495,48.67726312416167,fort|fort-2
118710,https://pleiades.stoa.org/places/118710,Grosskrotzenburg,8.9818115,50.079898,fort
118711,https://pleiades.stoa.org/places/118711,Grossprüfening,12.046385,49.01289,fort
118714,https://pleiades.stoa.org/places/118714,Gundremmingen,10.4095045,48.503195000000005,fort
118717,https://pleiades.stoa.org/places/118717,Gunzenhausen,10.754479,49.1143615,fort
118724,https://pleiades.stoa.org/places/118724,Hainhaus,9.08342,49.7331225,fort
118725,https://pleiades.stoa.org/places/118725,Halheim,10.28550675,48.982958249999996,fort|fort-2
118726,https://pleiades.stoa.org/places/118726,Hanau,8.9052,50.132131,fort|fort-2
118734,https://pleiades.stoa.org/places/118734,Heilbronn,9.2107124,49.1441116,fort
118740,https://pleiades.stoa.org/places/118740,Hermunduri,,,unknown
118741,https://pleiades.stoa.org/places/118741,Hesselbach,9.0900895,49.575377,fort
118758,https://pleiades.stoa.org/places/118758,Iciniacum,10.8458392,49.08938426666666,fort|fort-2
118760,https://pleiades.stoa.org/places/118760,Inheiden,8.9004935,50.4594675,fort
118761,https://pleiades.stoa.org/places/118761,Ioviacum?,13.916667,48.416667,fort|fort-2
118769,https://pleiades.stoa.org/places/118769,Jagsthausen,9.469357500000001,49.3107445,fort
118777,https://pleiades.stoa.org/places/118777,Karben,8.763929999999998,50.240281499999995,fort
118791,https://pleiades.stoa.org/places/118791,Kumpfmühl,12.100895,49.016491,fort
118800,https://pleiades.stoa.org/places/118800,Lauchheim,10.246307,48.871836,fort
118802,https://pleiades.stoa.org/places/118802,Lauriacum,14.47483505,48.22176695,fort|fort-2|settlement
118811,https://pleiades.stoa.org/places/118811,Lo(a)cus Felicis?,14.799821,48.096382,fort
118814,https://pleiades.stoa.org/places/118814,Lorch,9.6896755,48.798141,fort
118815,https://pleiades.stoa.org/places/118815,Losodica,10.602346,48.921544,fort
118821,https://pleiades.stoa.org/places/118821,Lužec,14.5,50.5,unknown
118822,https://pleiades.stoa.org/places/118822,Lützelbach,9.088495049999999,49.7794149,fort
118829,https://pleiades.stoa.org/places/118829,Mainhardt,9.55580365,49.078429799999995,fort
118834,https://pleiades.stoa.org/places/118834,Marköbel,8.9847505,50.222246999999996,fort
118835,https://pleiades.stoa.org/places/118835,Marktbreit,10.14316,49.665865,fort
118840,https://pleiades.stoa.org/places/118840,Mediana,10.709097,49.058521,fort
118842,https://pleiades.stoa.org/places/118842,Mengen,9.313056,48.051944,fort
118843,https://pleiades.stoa.org/places/118843,Michelsberg,11.5,48.5,unknown
118845,https://pleiades.stoa.org/places/118845,Miltenberg-Altstadt,9.24346875,49.70593825,fort
118846,https://pleiades.stoa.org/places/118846,Miltenberg-Ost,9.257068,49.703238,fort
118850,https://pleiades.stoa.org/places/118850,Moos,12.961064,48.751505,fort
118854,https://pleiades.stoa.org/places/118854,Murrhardt,9.581847,48.978564,fort
118862,https://pleiades.stoa.org/places/118862,Neckarburken,9.1702634,49.3767085,fort|fort-2
118867,https://pleiades.stoa.org/places/118867,Nersingen,10.124544,48.427572,fort
118873,https://pleiades.stoa.org/places/118873,Nidderau,8.870497,50.23681,fort
118876,https://pleiades.stoa.org/places/118876,Niedernberg,9.139083,49.912773,fort
118887,https://pleiades.stoa.org/places/118887,Oberflorstadt,8.876639,50.3250575,fort
118888,https://pleiades.stoa.org/places/118888,Oberhochstatt,11.053350155356508,49.03439666692256,fort|fort-2
118889,https://pleiades.stoa.org/places/118889,Obernburg,9.1468685,49.841696999999996,fort
118890,https://pleiades.stoa.org/places/118890,Oberscheidental,9.1511525,49.507236,fort
118891,https://pleiades.stoa.org/places/118891,Oberstimm,11.455793,48.712913,fort
118898,https://pleiades.stoa.org/places/118898,Osterburken,9.427510520716453,49.42553033217792,fort
118903,https://pleiades.stoa.org/places/118903,Parrodunum,11.016986,48.70045,fort
118905,https://pleiades.stoa.org/places/118905,Piniana,10.077677,48.383532,fort
118919,https://pleiades.stoa.org/places/118919,Quintana,13.079326,48.668964,fort|fort-2|settlement
118924,https://pleiades.stoa.org/places/118924,Rammersweier,7.964537461324691,48.483945362388525,fort
118927,https://pleiades.stoa.org/places/118927,Rederzhausen,11.003516,48.338717,fort
118929,https://pleiades.stoa.org/places/118929,Reginum/Castra Regina,12.098512249999999,49.019807400000005,defensive-wall|fort
118933,https://pleiades.stoa.org/places/118933,Risstissen,9.832115,48.2676055,fort
118937,https://pleiades.stoa.org/places/118937,Rückingen,8.985920499999999,50.154707,fort
118938,https://pleiades.stoa.org/places/118938,Ruffenhofen,10.480560249455834,49.046449067533985,fort|fort-2
118945,https://pleiades.stoa.org/places/118945,Sablonetum,10.9779218,49.06242615,fort
118952,https://pleiades.stoa.org/places/118952,Schirenhof Roman Fort,9.777184725,48.786714700000005,fort|fort-2|settlement
118955,https://pleiades.stoa.org/places/118955,Schlossau,9.150399,49.5399625,fort
118956,https://pleiades.stoa.org/places/118956,Kastell Waldmössingen,8.49333825,48.2735062,fort|fort-2
118959,https://pleiades.stoa.org/places/118959,Seckmauern,9.1196265,49.794326,fort
118961,https://pleiades.stoa.org/places/118961,Seligenstadt,8.975531,50.043369,fort
118968,https://pleiades.stoa.org/places/118968,Sorviodurum,12.5964322,48.8867769,fort|fort-2
118975,https://pleiades.stoa.org/places/118975,Steinkirchen,12.837564,48.827168,fort
118976,https://pleiades.stoa.org/places/118976,Stockstadt,9.065304,49.97895,fort
118983,https://pleiades.stoa.org/places/118983,Sulz,8.631848,48.362353,fort
118986,https://pleiades.stoa.org/places/118986,Summuntorium,10.8212809,48.6503594,fort
118999,https://pleiades.stoa.org/places/118999,Trennfurt,9.17738,49.775277,fort
119013,https://pleiades.stoa.org/places/119013,Unterkirchberg,10.000870673395223,48.343813652856326,fort|fort-2
119014,https://pleiades.stoa.org/places/119014,Unterschwaningen,10.620839499999999,49.07516915,fort
119020,https://pleiades.stoa.org/places/119020,Vetoniana,11.263551301698003,48.884011934232454,fort|fort-2
119026,https://pleiades.stoa.org/places/119026,*Vicus Aurelianus,9.5004755,49.203802499999995,fort|fort-2
119042,https://pleiades.stoa.org/places/119042,Walheim,9.1544525,49.0106665,fort
119043,https://pleiades.stoa.org/places/119043,Walldürn,9.378551000000002,49.5802115,fort
119046,https://pleiades.stoa.org/places/119046,Welzheim,9.637961,48.8740905,fort|fort-group|settlement
119050,https://pleiades.stoa.org/places/119050,Westernbach,9.49999625,49.23179025,fort
119054,https://pleiades.stoa.org/places/119054,Wörth,9.1505495,49.799299500000004,fort
119055,https://pleiades.stoa.org/places/119055,Würzberg,9.075278,49.634167,fort
119065,https://pleiades.stoa.org/places/119065,Zuchering,11.40638,48.712808,fort
119068,https://pleiades.stoa.org/places/119068,Zunsweier,7.948342,48.423905,fort
120804,https://pleiades.stoa.org/places/120804,Untitled,10.5,48.5,mine
123119,https://pleiades.stoa.org/places/123119,Septemiacum,,,fort|unlocated
128352,https://pleiades.stoa.org/places/128352,Abrahám,17.5,48.5,unknown
128353,https://pleiades.stoa.org/places/128353,Aequinoctium,16.614781999999998,48.117896,fort|fort-2
128354,https://pleiades.stoa.org/places/128354,Ala Nova,16.473512,48.142474,fort
128375,https://pleiades.stoa.org/places/128375,Cannabiaca?,16.1772445,48.328990000000005,fort
128399,https://pleiades.stoa.org/places/128399,Gerulata,17.149535746105173,48.056014081489394,fort|fort-2
128401,https://pleiades.stoa.org/places/128401,Gosławice,17.5,50.5,unknown
128404,https://pleiades.stoa.org/places/128404,Grinev,23.5,49.5,unknown
128417,https://pleiades.stoa.org/places/128417,Ivanká pri Dunaji,17.5,48.5,unknown
128425,https://pleiades.stoa.org/places/128425,Klosterneuburg,16.3250015,48.3050695,fort
128431,https://pleiades.stoa.org/places/128431,Kostolná pri Dunaji,17.5,48.5,unknown
128437,https://pleiades.stoa.org/places/128437,Ladná,16.5,48.5,unknown
128442,https://pleiades.stoa.org/places/128442,Laugaricio,18.038558,48.893052,fort
128444,https://pleiades.stoa.org/places/128444,Louna Hyle,17.5,48.5,unknown
128446,https://pleiades.stoa.org/places/128446,Ługi,16.5,51.5,unknown
128453,https://pleiades.stoa.org/places/128453,Mauerbach,16.167939,48.24547,fort
128462,https://pleiades.stoa.org/places/128462,Mušov-Burgstall,16.579011,48.905634,fort
128477,https://pleiades.stoa.org/places/128477,Oberleiserberg,16.373545,48.559018,fort
128519,https://pleiades.stoa.org/places/128519,Stillfried,16.84325,48.410019,fort
