pid,uri,title,longitude,latitude,description
20625,https://pleiades.stoa.org/places/20625,Tourountes? (river),22.5,57.5,"An ancient place, cited: BAtlas 2 H2 Tourountes? fl."
20628,https://pleiades.stoa.org/places/20628,Tuna,16.527934,59.626101,"An ancient place, cited: BAtlas 2 G2 Tuna"
20633,https://pleiades.stoa.org/places/20633,Vallhagar,18.209431,57.333805,"An ancient place, cited: BAtlas 2 G2 Vallhagar"
20634,https://pleiades.stoa.org/places/20634,Vandali,19.416275638511323,50.08671889124602,"An ancient place, cited: BAtlas 2 G3 Vandali"
20636,https://pleiades.stoa.org/places/20636,Vidivarii,17.5,52.5,"An ancient place, cited: BAtlas 2 G3 Vidivarii"
20641,https://pleiades.stoa.org/places/20641,Vrangstrup,9.884844,56.317786,"An ancient place, cited: BAtlas 2 E2 Vrangstrup"
20643,https://pleiades.stoa.org/places/20643,Węsiory,17.84493,54.231485,"An ancient place, cited: BAtlas 2 G3 Węsiory"
20645,https://pleiades.stoa.org/places/20645,Wesółki,18.331842,51.958656,"An ancient place, cited: BAtlas 2 G3 Wesółki"
20646,https://pleiades.stoa.org/places/20646,Wilhelmsaue,14.346612,52.66284,"An ancient place, cited: BAtlas 2 F3 Wilhelmsaue"
20647,https://pleiades.stoa.org/places/20647,Witaszkowo,14.770749,51.864705,"An ancient place, cited: BAtlas 2 F3 Witaszkowo"
20648,https://pleiades.stoa.org/places/20648,Wyszembork,21.359676,53.929002,"An ancient place, cited: BAtlas 2 H3 Wyszembork"
20650,https://pleiades.stoa.org/places/20650,Zgliczyn-Pobodzy,20.026425,52.950316,"An ancient place, cited: BAtlas 2 H3 Zgliczyn-Pobodzy"
21897,https://pleiades.stoa.org/places/21897,Ausoba (river),,,"An ancient place, cited: BAtlas 2 unlocated Ausoba"
21901,https://pleiades.stoa.org/places/21901,Dour (river),,,"An ancient place, cited: BAtlas 2 unlocated Dour fl."
21903,https://pleiades.stoa.org/places/21903,Iernos (river),,,"An ancient place, cited: BAtlas 2 unlocated Iernos fl."
21904,https://pleiades.stoa.org/places/21904,Iouernis,,,"An ancient place, cited: BAtlas 2 unlocated Iouernis"
21907,https://pleiades.stoa.org/places/21907,Luceni,,,"An ancient place, cited: BAtlas 2 unlocated Luceni"
21909,https://pleiades.stoa.org/places/21909,Magnata,,,"An ancient place, cited: BAtlas 2 unlocated Magnata"
21910,https://pleiades.stoa.org/places/21910,Makolikon,,,"An ancient place, cited: BAtlas 2 unlocated Makolikon"
21912,https://pleiades.stoa.org/places/21912,Notion Akron,,,"An ancient place, cited: BAtlas 2 unlocated Notion Akron"
21915,https://pleiades.stoa.org/places/21915,Ouenniknion Akron,,,"An ancient place, cited: BAtlas 2 unlocated Ouenniknion Akron"
21916,https://pleiades.stoa.org/places/21916,Ousdiai,,,"An ancient place, cited: BAtlas 2 unlocated Ousdiai"
21918,https://pleiades.stoa.org/places/21918,Raiba,,,"An ancient place, cited: BAtlas 2 unlocated Raiba"
