pid,uri,title,longitude,latitude,without_zotero
20508,https://pleiades.stoa.org/places/20508,Kaukoi,-7.5,52.5,20508:>>TIR BritSep 21
20514,https://pleiades.stoa.org/places/20514,"Cemetery cluster: Krosno, Połowite, Weklice",19.593767033333332,54.03231783333334,20514:loc:osm-location-modern-poaowite:https://www.openstreetmap.org/browse/node/31531016>Node 31531016>osm:node=31531016|20514:loc:osm-location-weklice:https://www.openstreetmap.org/browse/node/31529940>Node 31529940>osm:node=31529940|20514:loc:osm-location-modern-krosno:https://www.openstreetmap.org/browse/node/692610300>Node 692610300>osm:node=692610300
20522,https://pleiades.stoa.org/places/20522,Leśno,17.699655,53.949803,"20522:>>Wielowiejski 1985, 269, 271|20522:>>Walenta 1992"
20523,https://pleiades.stoa.org/places/20523,Lemovii?,12.5,52.5,20523:http://latin.packhum.org/loc/1351/2/39/260-268#42>>Tac. Germ. 43.6.3|20523:name:lemovii:https://latin.packhum.org/loc/1351/2/42/1580-1585>>Tac. Germ. 43.6.3
20532,https://pleiades.stoa.org/places/20532,Lubieszewo,15.25284,53.91935,"20532:>>Eggers 1950|20532:>>Wielowiejski 1985, 257, 304|20532:loc:osm-location-of-lubieszewo-powiat-gryficki:http://www.openstreetmap.org/browse/node/31346519>Node 31346519>osm:node=31346519"
20533,https://pleiades.stoa.org/places/20533,Lugii,16.7764,51.527063,"20533:http://latin.packhum.org/loc/1351/2/0#42>>Tac., Germ. 43.2"
20565,https://pleiades.stoa.org/places/20565,Öremölla,13.572631,55.418396,"20565:>>Lund Hansen 1987, 449"
20566,https://pleiades.stoa.org/places/20566,Osioi?,22.5,57.5,20566:>>Ptol. 3.5.10
20567,https://pleiades.stoa.org/places/20567,Ouenedikos Kolpos,19.000573827357524,54.66101360365688,20567:>>Ptol. 3.5.1-10|20567:loc:osm-location-of-gulf-of-gdansk:https://www.openstreetmap.org/browse/relation/8259509>Relation 8259509>osm:relation=8259509
20568,https://pleiades.stoa.org/places/20568,Ouenniknioi,-7.5,52.5,20568:>>Ptol. 2.2.2
20570,https://pleiades.stoa.org/places/20570,Ouiadoua (river),16.366545988430754,51.38239293687491,20570:loc:osm-location-of-oder:https://www.openstreetmap.org/browse/relation/387605>Relation 387605>osm:relation=387605
20576,https://pleiades.stoa.org/places/20576,Piła,16.7390964,53.1493864,20576:loc:osm-location-of-pi142a:http://www.openstreetmap.org/browse/node/253534746>Node 253534746>osm:node=253534746
20586,https://pleiades.stoa.org/places/20586,Roudon (river),24.37511417148308,54.19352331311013,20586:>>Ptol. 3.5.1|20586:loc:osm-location-of-neman-river:https://www.openstreetmap.org/browse/relation/189775>Relation 189775>osm:relation=189775
20594,https://pleiades.stoa.org/places/20594,Sarmaticus Oceanus,18.0,56.0,20594:loc:location-of-sarmaticus-oceanus:http://www.openstreetmap.org/browse/node/305640277>Node 305640277>osm:node=305640277
20600,https://pleiades.stoa.org/places/20600,Senos (river),-8.294263679330262,53.29130613968936,20600:loc:osm-location-of-modern-river-shannon:https://www.openstreetmap.org/browse/relation/3611921>Relation 3611921>osm:relation=3611921
20605,https://pleiades.stoa.org/places/20605,Skedemosse,16.7606,56.8398,"20605:loc:dare-location:http://francia.ahlfeldt.se/imperium.php>>Johan Åhlfeldt, Digital Atlas of the Roman Empire, 2012."
20613,https://pleiades.stoa.org/places/20613,Soudinoi,22.5,52.5,20613:>>Ptol. 3.5.9
20618,https://pleiades.stoa.org/places/20618,Suebicum Mare,20.0,58.0,"20618:https://latin.packhum.org/loc/1351/2/44/384-389>>Tac., Germ. 45.2.2"
20619,https://pleiades.stoa.org/places/20619,Suiones?,12.5,57.5,20619:http://latin.packhum.org/loc/1351/2/0#43>>Tac. Germ. 44|20619:name:suiones:https://latin.packhum.org/loc/1351/2/0#43>>Tac. Germ. 44
20624,https://pleiades.stoa.org/places/20624,Thule (island),-1.3395125999295476,60.278552211912924,20624:loc:osm-location-of-modern-shetland:https://www.openstreetmap.org/browse/relation/376677>Relation 376677>osm:relation=376677
20625,https://pleiades.stoa.org/places/20625,Tourountes? (river),22.5,57.5,20625:>>Ptol. 3.5.1
20635,https://pleiades.stoa.org/places/20635,Venedi,22.5,52.5,20635:>>Ptol. 3.5.7-9|20635:https://latin.packhum.org/loc/1351/2/45/344-358>>Tac. Germ. 46.2.1
20639,https://pleiades.stoa.org/places/20639,Vistula (river),20.05963418786485,51.65716560244051,20639:loc:osm-location-of-vistula:https://www.openstreetmap.org/browse/relation/34392>Relation 34392>osm:relation=34392
21904,https://pleiades.stoa.org/places/21904,Iouernis,,,21904:>>Ptol. 2.2.9
21906,https://pleiades.stoa.org/places/21906,Libnios (river),,,21906:name:libnios:http://books.google.com/books?id=9fzit_i9isUC>>Ptol. (Nobbe) 2.2.3
21907,https://pleiades.stoa.org/places/21907,Luceni,,,21907:>>Orosius 1.2
21912,https://pleiades.stoa.org/places/21912,Notion Akron,,,21912:name:notion-akron:http://books.google.com/books?id=9fzit_i9isUC>>Ptol. (Nobbe) 2.2.3
21914,https://pleiades.stoa.org/places/21914,Ouellaboroi/Velabri,,,21914:>>Ptol. 2.2.4|21914:>>Orosius 1.2
21916,https://pleiades.stoa.org/places/21916,Ousdiai,,,21916:>>Ptol. 2.2.6
29501,https://pleiades.stoa.org/places/29501,Bam,58.368953504896616,29.115595732452658,"29501:loc:osm-location:http://www.openstreetmap.org/browse/way/400586489>Way 400586489>osm:way=400586489|29501:name:bam-1:>>TAVO Index (Vol. 1, p. 208)|29501:name:bam-2:>>TAVO Index (Vol. 1, p. 208)"
29540,https://pleiades.stoa.org/places/29540,Dahan-i Ghulaman/Zra(n)ka?,61.636091667455325,30.79630803090857,29540:loc:osm-location-o-uossuu-oouossuossu:https://www.openstreetmap.org/browse/way/402062842>Way 402062842>osm:way=402062842|29540:name:zranka:>>EncIran Drangiana|29540:name:zraka:>>EncIran Drangiana
29573,https://pleiades.stoa.org/places/29573,Gedrosia,63.895823412972376,26.608330085354712,"29573:name:gedrosia:http://www.perseus.tufts.edu/hopper/text?doc=Perseus:abo:phi,0860,001:9:10>>Curtius 9.10|29573:name:kedrosia:http://data.perseus.org/citations/urn:cts:greekLit:tlg0060.tlg001.perseus-grc3:17.105>>Diod Sic 17.105|29573:name:gadrosia:http://data.perseus.org/citations/urn:cts:greekLit:tlg0074.tlg001.perseus-grc1:6.22>>Arr. An. 6.22.8"
29610,https://pleiades.stoa.org/places/29610,Isatichai,52.5,32.5,29610:>>RE Isatichai
29617,https://pleiades.stoa.org/places/29617,Jumeirah,55.24176465014546,25.196824295441,29617:loc:osm-location-of-jumeirah-archaeological-site:https://www.openstreetmap.org/browse/way/468287548>Way 468287548>osm:way=468287548
29620,https://pleiades.stoa.org/places/29620,Kalaiou Nesoi,58.07885109267106,23.852833523044556,29620:loc:osm-location-of-dimaniyat-islands:https://www.openstreetmap.org/browse/relation/19185739>Relation 19185739>osm:relation=19185739
29625,https://pleiades.stoa.org/places/29625,Karkuya/‘Korok’?,61.50457,31.1289975,"29625:name:karkuya:>>Schippmann 1971, 37-45|29625:name:korok:>>RE Carcoe|29625:name:carcoe:>>RE Carcoe"
29630,https://pleiades.stoa.org/places/29630,Kish,53.97949473563709,26.538024808099525,"29630:>>Whitehouse 1973, 41, 45|29630:http://www.encquran.brill.nl/entries/encyclopedie-de-l-islam/kays-SIM_4067>>Encyclopédie de l’Islam, Ḳays|29630:loc:osm-location-of-the-modern-island-of-kish:https://www.openstreetmap.org/browse/relation/5234418>Relation 5234418>osm:relation=5234418"
29633,https://pleiades.stoa.org/places/29633,Korodamon? Akron,59.7982879,22.533032,29633:loc:osm-location-of-modern-ras-al-hadd-lighthouse:http://www.openstreetmap.org/browse/node/1295699531>Node 1295699531>osm:node=1295699531
29636,https://pleiades.stoa.org/places/29636,Kuh-i Khwaja,61.449416,30.582929,"29636:>>Schippmann 1971, 57-70"
