created,description,details,provenance,title,uri,id,place_id,name_type,language_tag,attested_form,romanized_form_1,romanized_form_2,romanized_form_3,association_certainty,transcription_accuracy,transcription_completeness,year_after_which,year_before_which
2010-11-09T19:29:33Z,,,Barrington Atlas: BAtlas 26 Singiliensis Pagus,Singiliensis Pagus,https://pleiades.stoa.org/places/260639/singiliensis-pagus,singiliensis-pagus,260639,geographic,,,Singiliensis Pagus,,,certain,accurate,complete,-30,300
2010-11-09T19:29:53Z,,,Barrington Atlas: BAtlas 26 Veneriensis Ager,Veneriensis Ager,https://pleiades.stoa.org/places/260658/veneriensis-ager,veneriensis-ager,260658,geographic,,,Veneriensis Ager,,,certain,accurate,complete,-30,300
2010-11-09T19:29:12Z,,,Barrington Atlas: BAtlas 26 Oxthrakai,Oxthrakai,https://pleiades.stoa.org/places/260619/oxthrakai,oxthrakai,260619,geographic,,,Oxthrakai,,,certain,accurate,complete,-30,300
2010-11-09T19:29:55Z,,,Barrington Atlas: BAtlas 26 Vicus Baedorus,Vicus Baedorus,https://pleiades.stoa.org/places/260662/vicus-baedorus,vicus-baedorus,260662,geographic,,,Vicus Baedorus,,,certain,accurate,complete,-30,300
2010-11-09T19:29:27Z,,,Barrington Atlas: BAtlas 26 Sel(ambina),Selambina,https://pleiades.stoa.org/places/260635/selambina,selambina,260635,geographic,,,Selambina,,,certain,accurate,complete,-30,300
2010-11-09T19:29:27Z,,,Barrington Atlas: BAtlas 26 Sel(ambina),Sel,https://pleiades.stoa.org/places/260635/sel,sel,260635,geographic,,,Sel,,,certain,accurate,complete,-30,300
2010-11-09T19:29:16Z,,,Barrington Atlas: BAtlas 26 Polibedenses,Polibedenses,https://pleiades.stoa.org/places/260623/polibedenses,polibedenses,260623,geographic,,,Polibedenses,,,certain,accurate,complete,-30,300
2010-11-09T19:29:14Z,,,Barrington Atlas: BAtlas 26 Pinetum,Pinetum,https://pleiades.stoa.org/places/260622/pinetum,pinetum,260622,geographic,,,Pinetum,,,certain,accurate,complete,-30,640
2010-11-09T19:29:26Z,,,Barrington Atlas: BAtlas 26 Segovia,Segovia,https://pleiades.stoa.org/places/260634/segovia,segovia,260634,geographic,,,Segovia,,,certain,accurate,complete,-330,-30
2010-11-09T19:29:11Z,,,Barrington Atlas: BAtlas 26 Ouogia,Ouogia,https://pleiades.stoa.org/places/260618/ouogia,ouogia,260618,geographic,,,Ouogia,,,certain,accurate,complete,-30,300
2010-11-09T19:29:32Z,,,Barrington Atlas: BAtlas 26 Siccaena,Siccaena,https://pleiades.stoa.org/places/260638/siccaena,siccaena,260638,geographic,,,Siccaena,,,certain,accurate,complete,-30,300
2010-11-09T19:29:06Z,,,Barrington Atlas: BAtlas 26 Oningi/Onici,Oningi,https://pleiades.stoa.org/places/260614/oningi,oningi,260614,geographic,,,Oningi,,,certain,accurate,complete,-30,300
2010-11-09T19:29:06Z,,,Barrington Atlas: BAtlas 26 Oningi/Onici,Onici,https://pleiades.stoa.org/places/260614/onici,onici,260614,geographic,,,Onici,,,certain,accurate,complete,-30,300
2010-11-09T19:29:38Z,,,Barrington Atlas: BAtlas 26 Suburbanus Pagus,Suburbanus Pagus,https://pleiades.stoa.org/places/260643/suburbanus-pagus,suburbanus-pagus,260643,geographic,,,Suburbanus Pagus,,,certain,accurate,complete,-30,300
2010-11-09T19:28:55Z,,,Barrington Atlas: BAtlas 26 Mendikouleia,Mendikouleia,https://pleiades.stoa.org/places/260602/mendikouleia,mendikouleia,260602,geographic,,,Mendikouleia,,,certain,accurate,complete,-30,300
2010-11-09T19:29:09Z,,,Barrington Atlas: BAtlas 26 Ouelladis,Ouelladis,https://pleiades.stoa.org/places/260617/ouelladis,ouelladis,260617,geographic,,,Ouelladis,,,certain,accurate,complete,-30,300
2010-11-09T19:29:34Z,,,Barrington Atlas: BAtlas 26 Spalis,Spalis,https://pleiades.stoa.org/places/260640/spalis,spalis,260640,geographic,,,Spalis,,,certain,accurate,complete,-330,-30
2010-11-09T19:29:51Z,,,Barrington Atlas: BAtlas 26 Ugia Martia,Ugia Martia,https://pleiades.stoa.org/places/260656/ugia-martia,ugia-martia,260656,geographic,,,Ugia Martia,,,certain,accurate,complete,-30,300
2010-11-09T19:28:54Z,,,Barrington Atlas: BAtlas 26 Maxilua,Maxilua,https://pleiades.stoa.org/places/260601/maxilua,maxilua,260601,geographic,,,Maxilua,,,certain,accurate,complete,-330,300
2010-11-09T19:29:13Z,,,Barrington Atlas: BAtlas 26 Perbriga,Perbriga,https://pleiades.stoa.org/places/260621/perbriga,perbriga,260621,geographic,,,Perbriga,,,certain,accurate,complete,-30,640
2010-11-09T19:29:30Z,,,Barrington Atlas: BAtlas 26 Serpa,Serpa,https://pleiades.stoa.org/places/260637/serpa,serpa,260637,geographic,,,Serpa,,,certain,accurate,complete,-30,300
2010-11-09T19:29:54Z,,,Barrington Atlas: BAtlas 26 Vescelia,Vescelia,https://pleiades.stoa.org/places/260660/vescelia,vescelia,260660,geographic,,,Vescelia,,,certain,accurate,complete,-330,-30
2010-11-09T19:29:29Z,,,Barrington Atlas: BAtlas 26 Selia,Selia,https://pleiades.stoa.org/places/260636/selia,selia,260636,geographic,,,Selia,,,certain,accurate,complete,-30,300
2010-11-09T19:28:53Z,,,Barrington Atlas: BAtlas 26 Marruca,Marruca,https://pleiades.stoa.org/places/260600/marruca,marruca,260600,geographic,,,Marruca,,,certain,accurate,complete,-330,300
2010-11-09T19:29:52Z,,,Barrington Atlas: BAtlas 26 Unditanum,Unditanum,https://pleiades.stoa.org/places/260657/unditanum,unditanum,260657,geographic,,,Unditanum,,,certain,accurate,complete,-30,300
2010-11-09T19:29:35Z,,,Barrington Atlas: BAtlas 26 Spoletinon,Spoletinon,https://pleiades.stoa.org/places/260641/spoletinon,spoletinon,260641,geographic,,,Spoletinon,,,certain,accurate,complete,-30,300
2010-11-09T19:29:08Z,,,Barrington Atlas: BAtlas 26 Otobesa,Otobesa,https://pleiades.stoa.org/places/260616/otobesa,otobesa,260616,geographic,,,Otobesa,,,certain,accurate,complete,-30,300
2010-11-09T19:29:22Z,,,Barrington Atlas: BAtlas 26 Sallaecus,Sallaecus,https://pleiades.stoa.org/places/260631/sallaecus,sallaecus,260631,geographic,,,Sallaecus,,,certain,accurate,complete,-30,300
2010-11-09T19:29:05Z,,,Barrington Atlas: BAtlas 26 Oelun(...),Oelun(...),https://pleiades.stoa.org/places/260611/oelun,oelun,260611,geographic,,,Oelun(...),,,certain,accurate,reconstructable,-30,300
