place_id,place_type
960751426,unlocated
960751426,city-gate
960751427,unlocated
960751427,city-gate
960644233,tower-defensive
960638411,bridge
960655569,bridge
960323262,temple-2
960271818,townhouse
960592954,circus
960592956,amphitheatre
967060426,tower-defensive
967060430,fortlet
967060410,fortlet
967060406,tower-defensive
967060407,tower-defensive
967060411,fortlet
967060431,tower-defensive
967060427,fortlet
967060416,fortlet
967060400,tower-defensive
967060420,fortlet
967060421,tower-defensive
967060401,tower-defensive
967060417,tower-defensive
967060402,tower-defensive
967060414,fortlet
967060418,tower-defensive
967060434,fortlet
967060422,tower-defensive
967060423,tower-defensive
967060419,fortlet
967060415,fortlet
967060403,tower-defensive
967060408,tower-defensive
967060432,fortlet
967060424,tower-defensive
967060404,fortlet
967060412,tower-defensive
967060428,fortlet
967060429,tower-defensive
967060413,tower-defensive
967060405,fortlet
967060425,fortlet
967060433,fortlet
967060409,tower-defensive
967060308,tower-defensive
967060349,fortlet
967060365,tower-defensive
967060332,fortlet
967060324,fortlet
967060373,fortlet
967060304,tower-defensive
967060353,tower-defensive
967060345,tower-defensive
967060312,fortlet
967060369,fort
967060386,fortlet
967060328,fortlet
967060390,tower-defensive
967060391,tower-defensive
967060329,tower-defensive
967060368,fortlet
967060387,tower-defensive
967060313,tower-defensive
967060344,tower-defensive
967060352,fortlet
967060305,tower-defensive
967060372,tower-defensive
967060325,tower-defensive
967060333,fortlet
967060364,tower-defensive
967060348,tower-defensive
967060348,tower-wall
967060309,tower-defensive
967060302,fortlet
967060355,tower-defensive
967060343,tower-defensive
967060314,tower-defensive
967060380,tower-defensive
967060338,tower-defensive
967060379,tower-defensive
967060396,tower-defensive
967060359,fortlet
967060318,tower-defensive
967060363,fort-2
967060363,fortlet
967060334,tower-defensive
967060322,tower-defensive
967060375,tower-defensive
967060374,tower-defensive
967060323,tower-defensive
967060335,tower-defensive
967060362,tower-defensive
967060319,fortlet
967060358,tower-defensive
967060378,fortlet
967060397,tower-defensive
967060339,tower-defensive
967060381,tower-defensive
967060315,fortlet
967060342,frontier-system-limes
967060342,fortlet
967060354,fortlet
967060303,fortlet
967060394,tower-defensive
967060382,tower-defensive
967060316,fortlet
967060341,fortlet
967060357,fortlet
967060300,tower-defensive
967060398,tower-defensive
967060377,tower-defensive
967060320,fortlet
967060336,tower-defensive
967060361,fortlet
967060360,tower-defensive
967060337,tower-defensive
967060321,tower-defensive
967060399,fortlet
967060376,tower-defensive
967060301,tower-defensive
967060356,tower-defensive
967060340,tower-defensive
967060317,tower-defensive
967060383,fortlet
967060395,tower-defensive
967060395,fort-2
967060371,fortlet
967060326,fortlet
967060330,tower-defensive
967060388,tower-defensive
967060367,tower-defensive
967060392,fortlet
967060384,tower-defensive
967060310,fortlet
967060347,fortlet
967060351,tower-defensive
967060306,tower-defensive
967060307,fortlet
967060350,tower-defensive
967060346,tower-defensive
967060311,tower-defensive
967060385,tower-defensive
967060393,tower-defensive
967060389,fortlet
967060366,tower-defensive
967060331,tower-defensive
967060327,fortlet
967060370,tower-defensive
967060220,tower-defensive
967060298,tower-defensive
967060277,fortlet
967060261,tower-defensive
967060236,tower-defensive
967060241,tower-defensive
967060216,tower-defensive
967060257,tower-defensive
967060294,fortlet
967060282,tower-defensive
967060283,fortlet
967060295,fortlet
967060256,fortlet
967060217,fortlet
967060240,fortlet
967060237,fortlet
967060260,tower-defensive
967060299,tower-defensive
967060276,tower-defensive
967060221,fortlet
967060247,tower-defensive
967060251,tower-defensive
967060292,fortlet
967060284,tower-defensive
967060226,tower-defensive
967060271,fortlet
967060288,tower-defensive
967060267,fort
967060230,tower-defensive
967060231,tower-defensive
967060231,fortlet
967060289,tower-defensive
967060266,fort
967060270,tower-defensive
967060227,tower-defensive
967060285,tower-defensive
967060293,tower-defensive
967060250,tower-defensive
967060246,fortlet
967060269,fortlet
967060286,tower-defensive
967060290,fortlet
967060228,tower-defensive
